"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 False" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729 False" : "" : "Unknown"
"Airshipper" : "D:\Games\Veloren\" : "Unknown"
"Python 3.10.5 Add to Path (64-bit)" : "" : "Unknown"
"Logitech G HUB" : "Unknown" : "C:\Program Files\LGHUB\lghub.exe"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664" : "" : "Unknown"
"Python 3.10.5 Tcl/Tk Support (64-bit symbols)" : "" : "Unknown"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660 False" : "" : "Unknown"
"Microsoft .NET Runtime - 5.0.17 (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.51106 False" : "" : "Unknown"
"Microsoft Windows Desktop Runtime - 3.1.32 (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161" : "" : "Unknown"
"Microsoft .NET Runtime - 6.0.14 (x64)" : "" : "Unknown"
"i2pd" : "D:\personal\software\programs\Portable_Programms\i2pbrowser\i2pd\" : "D:\personal\software\programs\Portable_Programms\i2pbrowser\i2pd\I2Pd.exe"
"Python 3.10.5 Standard Library (64-bit)" : "" : "Unknown"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False" : "" : "Unknown"
"Directory Opus" : "C:\Program Files\GPSoftware\Directory Opus\" : "C:\Program Files\GPSoftware\Directory Opus\dopusrt.exe"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False" : "" : "Unknown"
"PowerToys (Preview)" : "C:\Program Files\PowerToys\" : "Unknown"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 False" : "" : "Unknown"
"Python 3.10.5 Development Libraries (64-bit)" : "" : "Unknown"
"Python 3.10.5 Tcl/Tk Support (64-bit)" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17 False" : "" : "Unknown"
"Update for Windows 10 for x64-based Systems (KB5001716)" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.5570 False" : "" : "Unknown"
